관서명,경찰서명,WGS84위도,WGS84경도
장안문지구대,수원중부,37.2956796251,127.0095022415
당수파출소,수원서부,37.2916815114,126.9417915015
화서문지구대,수원중부,37.2867051948,126.9931162592
율천파출소,수원중부,37.2979012089,126.9716180367
창룡문파출소,수원중부,37.2910109750,127.0218957472
매탄지구대,수원남부,37.2650751471,127.0399156797
곡선지구대,수원남부,37.2517966723,127.0298887294
인계파출소,수원남부,37.2756555916,127.0313404671
세류파출소,수원남부,37.2426536298,127.0152566986
광교파출소,수원남부,37.2885442553,127.0476068657
유천파출소,수원서부,37.2690449103,127.0143365311
호매실파출소,수원서부,37.2730979637,126.9515366509
고색파출소,수원서부,37.2519607642,126.9862337864
행궁파출소,수원중부,37.2829288659,127.0213073502
동부파출소,수원중부,37.2808459175,127.0295833754
산남지구대,수원남부,37.2686023677,127.0529953667
영통지구대,수원남부,37.2547674956,127.0777734212
권선파출소,수원남부,37.2597708797,127.0295083003
태장파출소,수원남부,37.2402729332,127.0553658250
매산지구대,수원서부,37.2660720289,126.9998380678
고등파출소,수원서부,37.2730189977,127.0024535325
서호지구대,수원서부,37.2806825297,126.9713094363
노송지구대,수원중부,37.3103114869,126.9879468137
