시군명,소재지도로명주소,소재지지번주소,위도,경도,설치연도,설치형태,관리부서명,관리기관전화번호,데이터기준일자
수원시,경기도 수원시 장안구 광교산로 154-25,경기도 수원시 장안구 연무동 산 1-4,37.301144,127.031677,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,경기도 수원시 장안구 광교산로 148 신미주아파트,경기도 수원시 장안구 연무동 4-25,37.300966,127.031689,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,경기도 수원시 장안구 광교산로 148 신미주아파트,경기도 수원시 장안구 연무동 4-25,37.301056,127.032004,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,경기도 수원시 장안구 광교산로 148 신미주아파트,경기도 수원시 장안구 연무동 4-25,37.301155,127.032377,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,경기도 수원시 장안구 광교산로 148 신미주아파트,경기도 수원시 장안구 연무동 4-25,37.301229,127.032653,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,,경기도 수원시 장안구 연무동 산 94-6,37.301292,127.032927,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,,경기도 수원시 장안구 연무동 산 94-6,37.301375,127.033169,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,,경기도 수원시 장안구 연무동 산 94-6,37.301461,127.033381,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,경기도 수원시 장안구 광교산로 154-25,경기도 수원시 장안구 연무동 산 1-4,37.301207,127.032005,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,경기도 수원시 장안구 광교산로 154-25,경기도 수원시 장안구 연무동 산 1-4,37.301263,127.032236,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,경기도 수원시 장안구 광교산로 154-25,경기도 수원시 장안구 연무동 산 1-4,37.301315,127.032453,2011,전용주,도로관리과,031-228-4309,2021-08-23
수원시,경기도 수원시 장안구 광교산로 154-25,경기도 수원시 장안구 연무동 산 1-4,37.301389,127.032724,2011,전용주,도로관리과,031-228-4309,2021-08-23
