gid,여성인구비율,cctv개수,가로등개수,경찰서접근성,
다사59a21a,1,0,0.082397004,0.101241782,1.018844779
다사61b21a,0.529778478,0,0.176029963,0.165376187,0.519124702
다사54a18a,0.465410108,0,0.041198502,0.166106647,0.590318254
다사53a16b,0.410107705,0,0.112359551,0.092914536,0.390662691
다사54a24b,0.374428736,0,0.063670412,0.332578524,0.643336849
다사59b21a,0.371400699,0,0.277153558,0.010591673,0.104838814
다사60a19b,0.337381259,0,0.513108614,0.151059167,-0.024668188
다사59a22a,0.337351056,0,0.299625468,0.104382761,0.142108349
다사58a18a,0.336791619,0.166666667,0.131086142,0.033674215,0.072713025
다사60b20b,0.333196073,0,0.280898876,0.097224251,0.149521448
다사58b18a,0.324990094,0,0.205992509,0.062892622,0.181890207
다사55a19a,0.3177519,0,0.546816479,0.120745069,-0.10831951
다사59b22a,0.303051977,0,0.850187266,0.102483565,-0.444651725
다사58b17b,0.293448742,0.333333333,0.224719101,0.075164354,-0.189439339
다사60a18a,0.283786935,0,0.172284644,0.143462381,0.254964672
다사58b18b,0.283396349,0,0.217228464,0.043973703,0.110141588
다사62a17a,0.282411215,0,0.445692884,0.088093499,-0.07518817
다사62a21a,0.282403212,0,0.033707865,0.159021183,0.40771653
다사52b16b,0.281261189,0,0.284644195,0.165522279,0.162139273
다사58b16b,0.281155237,0.166666667,0.576779026,0.100292184,-0.361998272
다사53b15a,0.280873241,0,0.232209738,0.239883126,0.28854663
다사59b21b,0.279520213,0,0.277153558,0.060043828,0.062410483
다사60b18b,0.279270068,0.166666667,0.288389513,0.033016801,-0.142769311
다사59a16b,0.279242177,0,0.516853933,0.132359386,-0.105252369
다사58a19b,0.279042958,0,0.359550562,0.021767714,-0.05873989
다사59a18b,0.278064611,0.333333333,0.213483146,0.032724617,-0.236027252
다사58b21a,0.277938441,0,0.08988764,0.107012418,0.295063218
다사59a17b,0.277813919,0.333333333,0.262172285,0.111029949,-0.20666175
다사62b17b,0.277664937,0.166666667,0.161048689,0.038130022,-0.011920397
다사60b21a,0.277622167,0,0.38576779,0.099123448,-0.009022175
다사58a16b,0.277604051,0,0.441947566,0.02972973,-0.134613784
다사59b15a,0.277381939,0,0.172284644,0.101314828,0.206412123
다사50b20a,0.277381939,0,0.082397004,0.135354273,0.330339208
다사60b15a,0.277124135,0.166666667,0.112359551,0.120160701,0.118258619
다사61b17a,0.276099239,0,0.194756554,0.159751644,0.241094328
다사60a21b,0.275535827,0,0.546816479,0.055734112,-0.21554654
다사53a15a,0.274783718,0,0.018726592,0.250693937,0.506751063
다사62b17a,0.2747613,0.5,0.367041199,0.072242513,-0.520037385
다사60a16a,0.274008885,0,0.348314607,0.057560263,-0.016745459
다사54a22a,0.273997855,0.333333333,0.501872659,0.105624543,-0.455583594
다사59b19b,0.273389488,0.333333333,0.224719101,0.091599708,-0.193063239
다사54a20b,0.273075203,0,0.359550562,0.093864134,0.007388775
다사62b18b,0.272864198,0,0.191011236,0.122717312,0.204570274
다사52b19b,0.272860867,0,0.232209738,0.100292184,0.140943313
다사60a18b,0.272062776,0,0.235955056,0.020233747,0.056341467
다사56a23a,0.27195515,0.166666667,0.119850187,0.155076698,0.140514994
다사59b17a,0.271673304,0,0.082397004,0.1706355,0.359911801
다사55a21b,0.271553393,0.333333333,0.397003745,0.058363769,-0.400419917
다사62a18a,0.271208647,0.333333333,0.052434457,0.116727538,0.002168395
다사59b17b,0.27063761,0,0.352059925,0.140613587,0.059191272
다사59b16b,0.270509408,0,0.539325843,0.130021914,-0.138794521
다사54a24a,0.270277884,0,0.329588015,0.105113221,0.04580309
다사57b17a,0.269768969,0,0.168539326,0.076186998,0.177416641
다사58b17a,0.269547431,0.333333333,0.36329588,0.040905771,-0.386176011
다사54a22b,0.269275285,0,0.284644195,0.120672023,0.105303114
다사52a19a,0.268997107,0,0.400749064,0.085244704,-0.046507253
다사53b20b,0.268778067,0,0.4082397,0.070854638,-0.068606995
다사57a23a,0.26867861,0.166666667,0.06741573,0.138422206,0.173018419
다사59b22b,0.268496531,0,0.936329588,1,0.332166943
다사58b22b,0.267901527,0.166666667,0.052434457,0.129656684,0.178457087
다사59a22b,0.26708425,0,0.176029963,0.137691746,0.228746033
다사51b19b,0.266784483,0,0.520599251,0.055076698,-0.198738069
다사61b18b,0.2665682,0,0.247191011,0.156318481,0.175695669
다사61a16b,0.26640972,0.166666667,0.172284644,0.134258583,0.061716992
다사61a21a,0.266176198,0,0.426966292,0.145799854,-0.01499024
다사62b18a,0.265666308,0,0.247191011,0.081519357,0.099994654
다사62b16b,0.265399046,0.166666667,0.29588015,0.095763331,-0.101384439
다사60a21a,0.265226407,0.166666667,0.220973783,0.067567568,-0.054846474
다사61b16b,0.265066336,0,0.198501873,0.127465303,0.194029767
다사57b18a,0.264911062,0.166666667,0.325842697,0.060262966,-0.167335336
다사54b21b,0.264068002,0.5,0.468164794,0.084002922,-0.62009387
다사59a20a,0.263737495,0,0.172284644,0.112929145,0.204381996
