,gid,TL_cnt
0,다사50a20b,1
1,다사50a21a,1
2,다사50b21a,1
3,다사51a18b,1
4,다사51b18b,3
5,다사51b19a,1
6,다사51b20a,1
7,다사52a21b,1
8,다사52b15b,1
9,다사52b16a,1
10,다사52b22a,1
11,다사52b22b,6
12,다사53a19b,2
13,다사53a20b,2
14,다사53a22a,3
15,다사53a22b,2
16,다사53b16b,2
17,다사53b17a,1
18,다사53b18b,1
19,다사53b20a,2
20,다사53b22a,1
21,다사53b24b,1
22,다사54a17a,1
23,다사54a22a,2
24,다사54b18a,1
25,다사54b18b,2
26,다사54b20b,1
27,다사54b21a,1
28,다사54b21b,3
29,다사54b22b,2
30,다사54b23a,2
31,다사55a20b,2
32,다사55a21b,2
33,다사55a23b,1
34,다사55b18b,4
35,다사55b20a,2
36,다사55b20b,1
37,다사55b21a,4
38,다사55b21b,4
39,다사55b22a,2
40,다사55b23a,1
41,다사56a17b,1
42,다사56a18a,1
43,다사56a18b,1
44,다사56a19a,1
45,다사56a19b,2
46,다사56a20a,2
47,다사56a21a,2
48,다사56a21b,1
49,다사56a22a,1
50,다사56a22b,3
51,다사56a23a,1
52,다사56b17b,3
53,다사56b18a,2
54,다사56b18b,2
55,다사56b19a,1
56,다사56b21a,1
57,다사56b21b,1
58,다사56b22b,1
59,다사56b23a,2
60,다사57a15a,1
61,다사57a16b,3
62,다사57a17a,3
63,다사57a17b,1
64,다사57a18a,3
65,다사57a19a,1
66,다사57a19b,1
67,다사57a20b,1
68,다사57a21a,2
69,다사57a21b,2
70,다사57a22a,2
71,다사57a22b,3
72,다사57a23a,1
73,다사57b14b,1
74,다사57b15a,2
75,다사57b16b,1
76,다사57b17b,1
77,다사57b18a,1
78,다사57b18b,1
79,다사57b19a,2
80,다사57b19b,2
81,다사57b20a,2
82,다사57b20b,1
83,다사58a15b,2
84,다사58a17a,1
85,다사58a17b,3
86,다사58a18a,1
87,다사58a20a,1
88,다사58a20b,1
89,다사58a21a,1
90,다사58a21b,2
91,다사58a22a,3
92,다사58b16a,1
93,다사58b16b,1
94,다사58b17a,2
95,다사58b17b,2
96,다사58b19a,1
97,다사58b20a,2
98,다사58b20b,1
99,다사58b22b,1
100,다사59a17b,2
101,다사59a18a,1
102,다사59a18b,2
103,다사59a19a,1
104,다사59a19b,2
105,다사59b18a,3
106,다사59b18b,6
107,다사59b19b,2
108,다사60a15b,1
109,다사60a16b,1
110,다사60a19a,3
111,다사60a21a,1
112,다사60b15a,1
113,다사60b15b,2
114,다사60b16a,1
115,다사60b16b,1
116,다사60b18b,1
117,다사61a16b,1
118,다사61a17a,3
119,다사61a17b,1
120,다사61a18b,1
121,다사61b16a,1
122,다사62a16b,4
123,다사62a17b,2
124,다사62a18a,2
125,다사62b16b,1
126,다사62b17a,3
127,다사62b17b,1
128,다사63a18b,1
129,다사63a21a,1
