,gid,TL_cnt
0,ㅼ궗50aa20ba,1
1,ㅼ궗50ab21ab,1
2,ㅼ궗50ba21ab,1
3,ㅼ궗51ab18bb,1
4,ㅼ궗51ba18bb,2
5,ㅼ궗51ba20aa,1
6,ㅼ궗51bb18bb,1
7,ㅼ궗51bb19aa,1
8,ㅼ궗52aa21bb,1
9,ㅼ궗52ba15bb,1
10,ㅼ궗52ba16ab,1
11,ㅼ궗52ba22ba,2
12,ㅼ궗52bb22ab,1
13,ㅼ궗52bb22ba,2
14,ㅼ궗52bb22bb,2
15,ㅼ궗53aa19bb,1
16,ㅼ궗53aa20bb,1
17,ㅼ궗53aa22aa,1
18,ㅼ궗53aa22ab,1
19,ㅼ궗53aa22ba,1
20,ㅼ궗53aa22bb,1
21,ㅼ궗53ab19ba,1
22,ㅼ궗53ab20ba,1
23,ㅼ궗53ab22aa,1
24,ㅼ궗53ba16bb,1
25,ㅼ궗53ba18bb,1
26,ㅼ궗53ba20ab,1
27,ㅼ궗53ba22ab,1
28,ㅼ궗53bb16bb,1
29,ㅼ궗53bb17aa,1
30,ㅼ궗53bb20aa,1
31,ㅼ궗53bb24ba,1
32,ㅼ궗54aa17aa,1
33,ㅼ궗54aa22aa,1
34,ㅼ궗54aa22ab,1
35,ㅼ궗54ba18ba,1
36,ㅼ궗54ba21aa,1
37,ㅼ궗54ba21ba,2
38,ㅼ궗54bb18ab,1
39,ㅼ궗54bb18bb,1
40,ㅼ궗54bb20ba,1
41,ㅼ궗54bb21ba,1
42,ㅼ궗54bb22ba,2
43,ㅼ궗54bb23aa,2
44,ㅼ궗55aa20ba,1
45,ㅼ궗55aa21bb,1
46,ㅼ궗55aa23ba,1
47,ㅼ궗55ab20ba,1
48,ㅼ궗55ab21bb,1
49,ㅼ궗55ba18ba,2
50,ㅼ궗55ba20ab,1
51,ㅼ궗55ba20bb,1
52,ㅼ궗55ba21aa,3
53,ㅼ궗55ba21bb,1
54,ㅼ궗55bb18ba,1
55,ㅼ궗55bb18bb,1
56,ㅼ궗55bb20aa,1
57,ㅼ궗55bb21aa,1
58,ㅼ궗55bb21ba,2
59,ㅼ궗55bb21bb,1
60,ㅼ궗55bb22aa,2
61,ㅼ궗55bb23ab,1
62,ㅼ궗56aa18ab,1
63,ㅼ궗56aa19bb,1
64,ㅼ궗56aa20aa,2
65,ㅼ궗56aa21bb,1
66,ㅼ궗56aa22ab,1
67,ㅼ궗56aa22ba,1
68,ㅼ궗56aa22bb,1
69,ㅼ궗56ab17bb,1
70,ㅼ궗56ab18bb,1
71,ㅼ궗56ab19aa,1
72,ㅼ궗56ab19bb,1
73,ㅼ궗56ab21aa,1
74,ㅼ궗56ab21ab,1
75,ㅼ궗56ab22ba,1
76,ㅼ궗56ab23aa,1
77,ㅼ궗56ba17bb,1
78,ㅼ궗56ba18ab,1
79,ㅼ궗56ba19aa,1
80,ㅼ궗56ba21aa,1
81,ㅼ궗56ba21bb,1
82,ㅼ궗56ba23ab,2
83,ㅼ궗56bb17bb,2
84,ㅼ궗56bb18ab,1
85,ㅼ궗56bb18ba,2
86,ㅼ궗56bb22bb,1
87,ㅼ궗57aa16ba,1
88,ㅼ궗57aa16bb,2
89,ㅼ궗57aa17aa,1
90,ㅼ궗57aa17ab,1
91,ㅼ궗57aa17bb,1
92,ㅼ궗57aa20ba,1
93,ㅼ궗57aa21aa,2
94,ㅼ궗57aa21ba,1
95,ㅼ궗57aa22aa,2
96,ㅼ궗57aa22ba,1
97,ㅼ궗57aa22bb,2
98,ㅼ궗57aa23aa,1
99,ㅼ궗57ab15ab,1
100,ㅼ궗57ab17ab,1
101,ㅼ궗57ab18ab,3
102,ㅼ궗57ab19ab,1
103,ㅼ궗57ab19bb,1
104,ㅼ궗57ab21ba,1
105,ㅼ궗57ba17ba,1
106,ㅼ궗57ba18ab,1
107,ㅼ궗57ba19bb,1
108,ㅼ궗57ba20ab,1
109,ㅼ궗57ba20bb,1
110,ㅼ궗57bb14bb,1
111,ㅼ궗57bb15aa,1
112,ㅼ궗57bb15ab,1
113,ㅼ궗57bb16bb,1
114,ㅼ궗57bb18ba,1
115,ㅼ궗57bb19ab,2
116,ㅼ궗57bb19bb,1
117,ㅼ궗57bb20aa,1
118,ㅼ궗58aa15ba,1
119,ㅼ궗58aa17aa,1
120,ㅼ궗58aa17ba,1
121,ㅼ궗58aa18aa,1
122,ㅼ궗58aa20aa,1
123,ㅼ궗58aa20ba,1
124,ㅼ궗58aa21aa,1
125,ㅼ궗58aa21ba,1
126,ㅼ궗58aa21bb,1
127,ㅼ궗58ab15bb,1
128,ㅼ궗58ab17bb,2
129,ㅼ궗58ab22aa,1
130,ㅼ궗58ab22ab,2
131,ㅼ궗58ba16aa,1
132,ㅼ궗58ba17ab,1
133,ㅼ궗58ba17ba,2
134,ㅼ궗58ba20ba,1
135,ㅼ궗58ba22ba,1
136,ㅼ궗58bb16ba,1
137,ㅼ궗58bb17ab,1
138,ㅼ궗58bb19aa,1
139,ㅼ궗58bb20aa,2
140,ㅼ궗59aa17bb,1
141,ㅼ궗59aa18bb,2
142,ㅼ궗59aa19ba,1
143,ㅼ궗59ab17ba,1
144,ㅼ궗59ab18ab,1
145,ㅼ궗59ab19ab,1
146,ㅼ궗59ab19ba,1
147,ㅼ궗59ba18aa,1
148,ㅼ궗59ba18ab,1
149,ㅼ궗59ba19ba,2
150,ㅼ궗59bb18aa,1
151,ㅼ궗59bb18ba,1
152,ㅼ궗59bb18bb,5
153,ㅼ궗60aa15bb,1
154,ㅼ궗60aa19aa,2
155,ㅼ궗60aa19ab,1
156,ㅼ궗60aa21aa,1
157,ㅼ궗60ab16ba,1
158,ㅼ궗60ba15ab,1
159,ㅼ궗60ba15bb,1
160,ㅼ궗60ba18ba,1
161,ㅼ궗60bb15bb,1
162,ㅼ궗60bb16aa,1
163,ㅼ궗60bb16bb,1
164,ㅼ궗61aa16ba,1
165,ㅼ궗61aa18bb,1
