,gid,TL_cnt
0,다사49b18b,6
1,다사49b19a,9
2,다사49b19b,44
3,다사49b21a,2
4,다사49b21b,13
5,다사50a18a,8
6,다사50a18b,27
7,다사50a19a,58
8,다사50a19b,72
9,다사50a20a,17
10,다사50a20b,19
11,다사50a21a,31
12,다사50a21b,79
13,다사50b18a,21
14,다사50b18b,55
15,다사50b19a,120
16,다사50b19b,124
17,다사50b20a,24
18,다사50b20b,6
19,다사50b21a,42
20,다사50b21b,52
21,다사51a17b,12
22,다사51a18a,50
23,다사51a18b,71
24,다사51a19a,23
25,다사51a19b,89
26,다사51a20a,11
27,다사51a21a,5
28,다사51a21b,84
29,다사51a22a,31
30,다사51a22b,7
31,다사51b15b,5
32,다사51b16a,18
33,다사51b17b,64
34,다사51b18a,90
35,다사51b18b,112
36,다사51b19a,126
37,다사51b19b,141
38,다사51b20a,24
39,다사51b21b,102
40,다사51b22a,74
41,다사51b22b,37
42,다사52a15b,52
43,다사52a16a,74
44,다사52a16b,18
45,다사52a17a,29
46,다사52a17b,181
47,다사52a18a,97
48,다사52a18b,85
49,다사52a19a,109
50,다사52a19b,35
51,다사52a20a,5
52,다사52a20b,14
53,다사52a21a,22
54,다사52a21b,115
55,다사52a22a,35
56,다사52a22b,44
57,다사52b15b,65
58,다사52b16a,103
59,다사52b16b,78
60,다사52b17a,28
61,다사52b17b,116
62,다사52b18a,38
63,다사52b19a,8
64,다사52b19b,64
65,다사52b20a,75
66,다사52b20b,70
67,다사52b21a,50
68,다사52b21b,42
69,다사52b22a,16
70,다사52b22b,96
71,다사52b23a,40
72,다사53a15a,7
73,다사53a15b,104
74,다사53a16a,59
75,다사53a16b,32
76,다사53a17a,86
77,다사53a17b,193
78,다사53a18a,62
79,다사53a18b,55
80,다사53a19a,77
81,다사53a19b,74
82,다사53a20a,102
83,다사53a20b,63
84,다사53a21a,47
85,다사53a21b,31
86,다사53a22a,116
87,다사53a22b,142
88,다사53a23a,74
89,다사53b15a,64
90,다사53b15b,139
91,다사53b16a,140
92,다사53b16b,63
93,다사53b17a,33
94,다사53b17b,15
95,다사53b18a,1
96,다사53b18b,41
97,다사53b19a,33
98,다사53b19b,81
99,다사53b20a,34
100,다사53b20b,111
101,다사53b21a,72
102,다사53b21b,40
103,다사53b22a,129
104,다사53b22b,103
105,다사53b23a,29
106,다사53b23b,48
107,다사53b24a,6
108,다사54a14b,10
109,다사54a15a,89
110,다사54a15b,101
111,다사54a16a,117
112,다사54a16b,39
113,다사54a17a,85
114,다사54a17b,49
115,다사54a18a,13
116,다사54a18b,17
117,다사54a19a,28
118,다사54a19b,24
119,다사54a20b,98
120,다사54a21a,110
121,다사54a21b,126
122,다사54a22a,136
123,다사54a22b,78
124,다사54a23a,93
125,다사54a23b,95
126,다사54a24a,90
127,다사54a24b,19
128,다사54a25a,15
129,다사54a25b,7
130,다사54b15a,3
131,다사54b15b,34
132,다사54b16a,83
133,다사54b16b,70
134,다사54b17a,69
135,다사54b17b,102
136,다사54b18a,64
137,다사54b18b,67
138,다사54b19a,59
139,다사54b20a,20
140,다사54b20b,98
141,다사54b21a,85
142,다사54b21b,127
143,다사54b22a,48
144,다사54b22b,42
145,다사54b23a,57
146,다사54b23b,70
147,다사54b24a,38
148,다사54b24b,40
149,다사54b25a,19
150,다사55a17a,11
151,다사55a17b,85
152,다사55a18a,145
153,다사55a18b,98
154,다사55a19a,148
155,다사55a19b,56
156,다사55a20a,49
157,다사55a20b,92
158,다사55a21a,53
159,다사55a21b,108
160,다사55a22a,82
161,다사55a22b,55
162,다사55a23a,49
163,다사55a23b,38
164,다사55a25a,2
165,다사55b17b,47
166,다사55b18a,150
167,다사55b18b,76
168,다사55b19a,76
169,다사55b19b,30
170,다사55b20a,19
171,다사55b21a,70
172,다사55b21b,32
173,다사55b22a,72
174,다사55b22b,36
175,다사55b23a,56
176,다사55b23b,27
177,다사55b24a,11
178,다사56a16b,7
179,다사56a17a,68
180,다사56a17b,122
181,다사56a18a,120
182,다사56a18b,33
183,다사56a19a,85
184,다사56a19b,33
185,다사56a20a,36
186,다사56a20b,52
187,다사56a21a,46
188,다사56a21b,38
189,다사56a22a,124
190,다사56a22b,46
191,다사56a23a,34
192,다사56a23b,18
193,다사56a24a,1
194,다사56b16a,22
195,다사56b16b,28
196,다사56b17a,100
197,다사56b17b,60
198,다사56b18a,106
199,다사56b18b,79
200,다사56b19a,107
201,다사56b19b,16
202,다사56b20a,5
203,다사56b20b,80
204,다사56b21a,71
205,다사56b21b,69
206,다사56b22a,49
207,다사56b22b,62
208,다사56b23a,66
209,다사57a14b,14
210,다사57a15a,68
211,다사57a15b,133
212,다사57a16a,78
213,다사57a16b,108
214,다사57a17a,85
215,다사57a17b,48
216,다사57a18a,48
217,다사57a18b,66
218,다사57a19a,89
219,다사57a19b,113
220,다사57a20a,108
221,다사57a20b,85
222,다사57a21a,68
223,다사57a21b,71
224,다사57a22a,31
225,다사57a22b,55
226,다사57a23a,20
227,다사57a23b,1
228,다사57a24a,35
229,다사57a24b,24
230,다사57a25a,23
231,다사57a25b,19
232,다사57a26a,13
