gid,여성인구비율,cctv개수,가로등개수,경찰서접근성
다사59a21a,0.944444444,1,24,1.476
다사61b21a,0.590163934,1,49,2.354
다사54a18a,0.541666667,1,13,2.364
다사53a16b,0.5,1,32,1.362
다사54a24b,0.47311828,1,19,4.643
다사59b21a,0.470836856,1,76,0.235
다사60a19b,0.44520548,1,139,2.158
다사59a22a,0.445182724,1,82,1.519
다사58a18a,0.444761226,2,37,0.551
다사60b20b,0.442052222,1,77,1.421
다사58b18a,0.435869565,1,57,0.951
다사55a19a,0.430416069,1,148,1.743
다사59b22a,0.419340659,1,229,1.493
다사58b17b,0.412105263,3,62,1.119
다사60a18a,0.404825737,1,48,2.054
다사58b18b,0.404531456,1,60,0.692
다사62a17a,0.403789224,1,121,1.296
다사62a21a,0.403783194,1,11,2.267
다사52b16b,0.402922756,1,78,2.356
다사58b16b,0.402842928,2,156,1.463
다사53b15a,0.402630463,1,64,3.374
다사59b21b,0.401611047,1,76,0.912
다사60b18b,0.401422579,2,79,0.542
다사59a16b,0.401401565,1,140,1.902
다사58a19b,0.401251467,1,98,0.388
다사59a18b,0.400514348,3,59,0.538
다사58b21a,0.400419287,1,26,1.555
다사59a17b,0.400325468,3,72,1.61
다사62b17b,0.40021322,2,45,0.612
다사60b21a,0.400180996,1,105,1.447
다사58a16b,0.400167347,1,120,0.497
다사59b15a,0.4,1,48,1.477
다사50b20a,0.4,1,24,1.943
다사60b15a,0.399805762,2,32,1.735
다사61b17a,0.399033571,1,54,2.277
다사60a21b,0.398609078,1,148,0.853
다사53a15a,0.398042414,1,7,3.522
다사62b17a,0.398025524,4,100,1.079
다사60a16a,0.397458629,1,95,0.878
다사54a22a,0.397450319,3,136,1.536
다사59b19b,0.396991955,3,62,1.344
다사54a20b,0.396755162,1,98,1.375
다사62b18b,0.396596184,1,53,1.77
다사52b19b,0.396593674,1,64,1.463
다사60a18b,0.395992366,1,65,0.367
다사56a23a,0.395911277,2,34,2.213
다사59b17a,0.395698925,1,24,2.426
다사55a21b,0.39560858,3,108,0.889
다사62a18a,0.395348837,3,16,1.688
다사59b17b,0.394918599,1,96,2.015
다사59b16b,0.394822007,1,146,1.87
다사54a24a,0.394647569,1,90,1.529
다사57b17a,0.394264136,1,47,1.133
다사58b17a,0.394097222,3,99,0.65
다사54a22b,0.393892178,1,78,1.742
다사52a19a,0.393682589,1,109,1.257
다사53b20b,0.393517557,1,111,1.06
다사57a23a,0.393442623,2,20,1.985
다사59b22b,0.393305439,1,252,13.78
다사58b22b,0.392857143,2,16,1.865
다사59a22b,0.392241379,1,49,1.975
다사51b19b,0.392015525,1,141,0.844
다사61b18b,0.39185257,1,68,2.23
다사61a16b,0.391733166,2,48,1.928
다사61a21a,0.391557223,1,116,2.086
다사62b18a,0.391173055,1,68,1.206
다사62b16b,0.390971691,2,81,1.401
다사60a21a,0.390841619,2,61,1.015
다사61b16b,0.390721016,1,55,1.835
다사57b18a,0.390604027,2,89,0.915
다사54b21b,0.389968838,4,127,1.24
다사59a20a,0.389719823,1,48,1.636
다사59a17a,0.389551391,1,111,1.317
다사63a18b,0.389122807,2,24,2.508
다사60a15a,0.388997269,1,43,1.101
다사61a20b,0.388553426,1,24,2.533
다사58a19a,0.388429752,1,54,0.642
다사52b21a,0.388392857,1,50,2.12
다사61a17a,0.388210002,4,54,2.044
다사62a17b,0.388125094,3,57,1.441
다사59a23a,0.387755102,1,136,3.12
다사54a21b,0.387302693,1,126,1.687
다사54a21a,0.387096774,1,110,1.42
다사59b23b,0.386847195,1,132,3.474
다사53b17a,0.386586285,2,33,1.251
다사54a23a,0.386222541,1,93,1.288
다사60b21b,0.386045688,1,165,1.445
다사59b18b,0.385995299,7,35,1.346
다사55a21a,0.38538206,1,53,0.659
다사54b22a,0.384337784,1,48,1.263
다사61a15b,0.38418777,1,84,1.022
다사60b19b,0.383823529,1,32,0.914
다사61b21b,0.383323683,1,110,1.619
다사55a20b,0.38287796,3,92,0.708
다사60b16a,0.382827789,2,117,0.768
다사59a23b,0.382594417,1,88,3.341
다사58a17a,0.38238615,2,78,0.224
다사60a15b,0.382285944,2,85,0.714
다사56a22b,0.381950775,4,46,1.136
다사51b20a,0.380467346,2,24,1.462
다사60a20b,0.379798809,1,70,0.723
다사57b16a,0.379723502,1,60,1.539
다사52a17a,0.379439252,1,29,1.839
다사60a23a,0.378672829,1,182,2.676
다사51a22a,0.378537106,1,31,2.01
다사58b20a,0.378375192,3,67,1.835
다사63a21b,0.378368264,1,39,3.425
다사56a20b,0.378202345,1,52,1.453
다사55a22a,0.377990431,1,82,0.728
다사53b22b,0.377921882,1,103,1.252
다사54a23b,0.377251419,1,95,0.722
다사57b16b,0.377149877,2,89,2.811
다사52b21b,0.376920759,1,42,1.317
다사59a19a,0.376766856,2,23,1.701
다사59b19a,0.376723058,1,64,1.062
다사58b19a,0.376512597,2,40,1.161
다사49b19b,0.376351351,1,44,2.168
다사52b15b,0.376098418,2,65,2.864
다사56a22a,0.375781607,2,124,0.622
다사53b21a,0.375216138,1,72,1.779
다사59b18a,0.375085371,4,87,1.458
다사53a15b,0.375,1,104,2.415
다사58b16a,0.374729242,2,61,1.842
다사52b16a,0.374516589,2,103,2.507
다사51a17b,0.374358974,1,12,3.048
다사60a19a,0.373833306,4,76,0.486
다사61a16a,0.373599701,1,70,1.519
다사59a18a,0.373408624,2,26,1.143
다사56b16a,0.372972973,1,22,0.366
다사59a16a,0.372932745,1,73,1.735
다사51b19a,0.37291095,2,126,0.829
다사58a18b,0.37265625,1,40,1.09
다사61a21b,0.372587633,1,2,3.865
다사53a18b,0.372387239,1,55,1.563
다사58a15a,0.372232064,1,53,2.135
다사58a16a,0.371797542,1,70,1.547
다사54b21a,0.371775417,2,85,1.146
다사57b17b,0.371657754,2,83,0.8
다사59a15b,0.37159254,1,38,2.761
다사50a21b,0.371196283,1,79,0.801
다사56b23a,0.371164937,3,66,1.921
다사59a19b,0.370929776,3,60,1.237
다사55b21a,0.370573703,5,70,1.358
다사55b22a,0.370532458,3,72,1.019
다사51a18b,0.370474847,2,71,1.533
다사50a21a,0.370328426,2,31,1.199
다사52b23a,0.370170516,1,40,1.543
다사52a16b,0.370056497,1,18,2.771
다사54b20b,0.369858156,2,98,0.655
다사51b17b,0.369733925,1,64,2.348
다사60b15b,0.369599683,3,102,0.52
다사58a17b,0.369590373,4,80,0.766
다사51a19a,0.369312774,1,23,13.435
다사60b20a,0.369113077,1,16,2.434
다사55a18b,0.368974359,1,98,1.267
다사58b23b,0.368421053,1,21,11.13
다사57a22b,0.368261912,4,55,1.763
다사52a16a,0.367882714,1,74,3.032
다사55b18a,0.367875648,1,150,1.636
다사52a15b,0.367697595,1,52,4.048
다사58b19b,0.367575933,1,59,0.416
다사61b20a,0.367390154,1,66,1.521
다사50a19b,0.367164616,1,72,2.161
다사52b22a,0.366733467,2,16,0.594
다사51b18b,0.366632338,4,112,1.384
다사62a16b,0.366581415,5,91,1.362
다사53a20b,0.366399325,3,63,1.228
다사51a19b,0.36569873,1,89,3.617
다사54b22b,0.365404654,3,42,1.124
다사60b19a,0.365375854,1,86,1.119
다사50a19a,0.364967293,1,58,1.854
다사55a22b,0.364951255,1,55,0.995
다사57a17a,0.364152618,4,85,1.472
다사56a18a,0.36411059,2,120,1.337
다사57a16b,0.363707165,4,108,1.169
다사52a22a,0.363681346,1,35,2.154
다사53b16b,0.363636364,3,63,0.918
다사53b21b,0.36338376,1,40,1.888
다사53b22a,0.363045651,2,129,1.954
다사59b16a,0.363002627,1,98,1.317
다사59b23a,0.362978837,1,269,2.486
다사51a20a,0.362804878,1,11,12.482
다사56a20a,0.362634088,3,36,1.078
다사51a18a,0.362632085,1,50,2.37
다사57a18a,0.362218713,4,48,1.054
다사53a23a,0.362204724,1,74,1.07
다사62a21b,0.362041467,1,35,9.597
다사57b18b,0.361568248,2,61,1.218
다사57a17b,0.361223898,2,48,1.231
다사58b20b,0.360835243,2,54,1.398
다사61a19a,0.360512129,1,81,1.181
다사55a19b,0.3603041,1,56,1.328
다사53b20a,0.36,3,34,1.298
다사52a18b,0.359445407,1,85,1.569
다사53a19a,0.359053182,1,77,1.345
다사55b19b,0.358986673,1,30,0.408
다사57a16a,0.358893053,1,78,1.667
다사58a20a,0.358532934,2,67,0.217
다사55a20a,0.358482926,1,49,0.945
다사51b22a,0.357920194,1,74,1.857
다사56b22b,0.357752341,2,62,1.321
다사55b22b,0.356403431,1,36,1.257
다사56b19b,0.356097561,1,16,1.254
다사58a21a,0.355590801,2,40,0.982
다사56a21b,0.355042594,2,38,0.529
다사62b21b,0.354961832,1,56,2.162
다사55b20a,0.354532044,3,19,1.154
다사57b15b,0.354146019,1,71,1.329
다사53a19b,0.354144405,3,74,0.722
다사59b15b,0.353942984,1,93,1.085
다사56b16b,0.353932584,1,28,0.757
다사57b19a,0.353879178,3,46,1.12
다사50b19b,0.353420195,1,124,1.01
다사52a20b,0.352941177,1,14,2.164
다사57a25a,0.352941177,1,23,5.155
다사54a18b,0.352941177,1,17,1.825
다사56b22a,0.352838122,1,49,0.603
다사60a22b,0.352818372,1,83,2.344
다사50b21a,0.352807284,2,42,1.886
다사55b23a,0.352079475,2,56,1.57
다사57a22a,0.351873674,3,31,0.862
다사57b22b,0.351681957,1,6,1.932
다사60b16b,0.351373021,2,65,1.016
다사52b22b,0.351090909,7,96,0.896
다사52a18a,0.351080247,1,97,2.136
다사57a15b,0.350877193,1,133,0.745
다사58a20b,0.350090654,2,40,0.612
