,gid,sgg_nm_e,value,geometry
0,다사49b18a,"Gwonseon-gu, Suwon-si",3.154,"MULTIPOLYGON (((126.9304927406065 37.25952602438171, 126.9304588047365 37.26403281648398, 126.9360975759093 37.26405980850981, 126.9361311758391 37.25955301202929, 126.9304927406065 37.25952602438171)))"
1,다사49b18b,"Gwonseon-gu, Suwon-si",2.498,"MULTIPOLYGON (((126.9304588047365 37.26403281648398, 126.9304248613127 37.26853960512064, 126.9360639685004 37.26856660152522, 126.9360975759093 37.26405980850981, 126.9304588047365 37.26403281648398)))"
2,다사49b19a,"Gwonseon-gu, Suwon-si",2.376,"MULTIPOLYGON (((126.9304248613127 37.26853960512064, 126.9303909103332 37.27304639029154, 126.9360303536106 37.2730733910754, 126.9360639685004 37.26856660152522, 126.9304248613127 37.26853960512064)))"
3,다사49b19b,"Gwonseon-gu, Suwon-si",2.168,"MULTIPOLYGON (((126.9303909103332 37.27304639029154, 126.9303569517964 37.27755317199652, 126.9359967312384 37.27758017716017, 126.9360303536106 37.2730733910754, 126.9303909103332 37.27304639029154)))"
4,다사49b20a,"Gwonseon-gu, Suwon-si",2.255,"MULTIPOLYGON (((126.9303569517964 37.27755317199652, 126.9303229857005 37.28205995023544, 126.9359631013818 37.28208695977939, 126.9359967312384 37.27758017716017, 126.9303569517964 37.27755317199652)))"
5,다사49b20b,"Gwonseon-gu, Suwon-si",1.519,"MULTIPOLYGON (((126.9303229857005 37.28205995023544, 126.9302890120436 37.28656672500814, 126.9359294640391 37.28659373893289, 126.9359631013818 37.28208695977939, 126.9303229857005 37.28205995023544)))"
6,다사49b21a,"Gwonseon-gu, Suwon-si",1.422,"MULTIPOLYGON (((126.9302890120436 37.28656672500814, 126.930255030824 37.29107349631445, 126.9358958192086 37.29110051462054, 126.9359294640391 37.28659373893289, 126.9302890120436 37.28656672500814)))"
7,다사49b22b,"Gwonseon-gu, Suwon-si",2.796,"MULTIPOLYGON (((126.9301870456899 37.30008702852733, 126.9301530417717 37.30459378943359, 126.9357948397728 37.30462082088675, 126.9358285070772 37.3001140555976, 126.9301870456899 37.30008702852733)))"
8,다사50a17b,"Gwonseon-gu, Suwon-si",5.808,"MULTIPOLYGON (((126.9361647682916 37.25504621208383, 126.9361311758391 37.25955301202929, 126.941769618549 37.25957973117976, 126.9418028751343 37.25507292690013, 126.9361647682916 37.25504621208383)))"
9,다사50a18a,"Gwonseon-gu, Suwon-si",2.882,"MULTIPOLYGON (((126.9361311758391 37.25955301202929, 126.9360975759093 37.26405980850981, 126.9417363545611 37.26408653199498, 126.941769618549 37.25957973117976, 126.9361311758391 37.25955301202929)))"
