gid,geometry,경도,위도,ratio,cctv개수,가로등개수,경찰서접근성
다사59a21a,"MULTIPOLYGON (((127.0374588078356 37.28703403084769, 127.0374312182906 37.29154087794573, 127.0430721361727 37.29156278883411, 127.0430993892984 37.28705593818292, 127.0374588078356 37.28703403084769)))",127.0402654,37.28929843,0.944444444,0,24,1.476
다사61b21a,"MULTIPOLYGON (((127.065661775055 37.28714087973933, 127.0656358676206 37.29164774416718, 127.0712768150881 37.29166831094096, 127.0713023860962 37.28716144317791, 127.065661775055 37.28714087973933)))",127.0684692,37.28940462,0.590163934,0,49,2.354
다사54a18a,"MULTIPOLYGON (((126.981238920604 37.2597592472233, 126.981208008257 37.26426607716173, 126.9868468440496 37.26429065228294, 126.9868774204413 37.25978381835828, 126.981238920604 37.2597592472233)))",126.9840428,37.26202497,0.541666667,0,13,2.364
다사53a16b,"MULTIPOLYGON (((126.9700566522338 37.24618881316048, 126.9700250890626 37.25069564538121, 126.9756629033867 37.25072074538111, 126.9756941308301 37.24621390908845, 126.9700566522338 37.24618881316048)))",126.9728597,37.2484548,0.5,0,32,1.362
다사54a24b,"MULTIPOLYGON (((126.9808365229234 37.31834776640827, 126.9808055209992 37.32285455133965, 126.9864487310212 37.32287917832451, 126.9864793960167 37.31837238940081, 126.9808365229234 37.31834776640827)))",126.9836425,37.32061349,0.47311828,0,19,4.643
다사59b21a,"MULTIPOLYGON (((127.0430993892984 37.28705593818292, 127.0430721361727 37.29156278883411, 127.0487130601216 37.29158443090132, 127.0487399768265 37.28707757674059, 127.0430993892984 37.28705593818292)))",127.0459061,37.28932021,0.470836856,0,76,0.235
다사60a19b,"MULTIPOLYGON (((127.0488206910036 37.27355699351909, 127.0487937922662 37.27806385804933, 127.0544337131652 37.27808522089782, 127.0544602757051 37.27357835290286, 127.0488206910036 37.27355699351909)))",127.0516271,37.27582113,0.44520548,0,139,2.158
다사59a22a,"MULTIPOLYGON (((127.0374036226038 37.29604772158615, 127.0373760207739 37.30055456176879, 127.0430176117194 37.30057647976471, 127.0430448769802 37.29606963602809, 127.0374036226038 37.29604772158615)))",127.0402105,37.29831212,0.445182724,0,82,1.519
다사58a18a,"MULTIPOLYGON (((127.0263471056428 37.25994829806271, 127.0263188809816 37.26445515867137, 127.0319577691293 37.2644775853638, 127.0319856578231 37.25997072111738, 127.0263471056428 37.25994829806271)))",127.0291524,37.26221296,0.444761226,1,37,0.551
다사60b20b,"MULTIPOLYGON (((127.0544071447124 37.28259208543686, 127.0543805703453 37.28709894651981, 127.0600211697797 37.28712004751966, 127.0600474077982 37.28261318301475, 127.0544071447124 37.28259208543686)))",127.0572141,37.28485609,0.442052222,0,77,1.421
다사58b18a,"MULTIPOLYGON (((127.0319856578231 37.25997072111738, 127.0319577691293 37.2644775853638, 127.037596663485 37.26449974349836, 127.0376242162098 37.25999287565772, 127.0319856578231 37.25997072111738)))",127.0347911,37.26223525,0.435869565,0,57,0.951
다사55a19a,"MULTIPOLYGON (((126.9924554394821 37.2688217932611, 126.992425185583 37.27332862420781, 126.9980647070543 37.27335267002729, 126.9980946248454 37.26884583518055, 126.9924554394821 37.2688217932611)))",126.99526,37.27108725,0.430416069,0,148,1.743
다사59b22a,"MULTIPOLYGON (((127.0430448769802 37.29606963602809, 127.0430176117194 37.30057647976471, 127.0486592087345 37.30059812885228, 127.0486861374248 37.29609128160528, 127.0430448769802 37.29606963602809)))",127.045852,37.2983339,0.419340659,0,229,1.493
다사58b17b,"MULTIPOLYGON (((127.0320135403104 37.25546385341395, 127.0319856578231 37.25997072111738, 127.0376242162098 37.25999287565772, 127.037651762803 37.25548600436052, 127.0320135403104 37.25546385341395)))",127.0348188,37.25772839,0.412105263,2,62,1.119
다사60a18a,"MULTIPOLYGON (((127.0489013513036 37.26003637919184, 127.0488744705209 37.26454325409021, 127.0545133830516 37.2645646065457, 127.054539927861 37.26005772818382, 127.0489013513036 37.26003637919184)))",127.0517073,37.26230051,0.404825737,0,48,2.054
다사58b18b,"MULTIPOLYGON (((127.0319577691293 37.2644775853638, 127.0319298742277 37.26898444615309, 127.0375691046271 37.26900660788227, 127.037596663485 37.26449974349836, 127.0319577691293 37.2644775853638)))",127.0347634,37.26674212,0.404531456,0,60,0.692
다사62a17a,"MULTIPOLYGON (((127.071506749394 37.25110637670441, 127.0714812238773 37.25561327210365, 127.0771194877119 37.25563354372996, 127.0771446773995 37.25112664504223, 127.071506749394 37.25110637670441)))",127.074313,37.25336998,0.403789224,0,121,1.296
다사62a21a,"MULTIPOLYGON (((127.0713023860962 37.28716144317791, 127.0712768150881 37.29166831094096, 127.0769177682479 37.29168860888922, 127.0769430028284 37.28718173783459, 127.0713023860962 37.28716144317791)))",127.07411,37.28942505,0.403783194,0,11,2.267
다사52b16b,"MULTIPOLYGON (((126.9644191806613 37.2461634488596, 126.9643872817639 37.25067027696488, 126.9700250890626 37.25069564538121, 126.9700566522338 37.24618881316048, 126.9644191806613 37.2461634488596)))",126.9672221,37.24842957,0.402922756,0,78,2.356
다사58b16b,"MULTIPOLYGON (((127.0320692866715 37.24645010763673, 127.0320414165927 37.25095698225368, 127.0376793032658 37.2509791296069, 127.0377068375999 37.24647225139701, 127.0320692866715 37.24645010763673)))",127.0348742,37.24871464,0.402842928,1,156,1.463
다사53b15a,"MULTIPOLYGON (((126.9757877714718 37.2326933794449, 126.9757565648711 37.2372002261202, 126.9813933791818 37.23722504561891, 126.9814242502772 37.23271819491667, 126.9757877714718 37.2326933794449)))",126.9785905,37.23495923,0.402630463,0,64,3.374
다사59b21b,"MULTIPOLYGON (((127.0430721361727 37.29156278883411, 127.0430448769802 37.29606963602809, 127.0486861374248 37.29609128160528, 127.0487130601216 37.29158443090132, 127.0430721361727 37.29156278883411)))",127.0458791,37.29382706,0.401611047,0,76,0.912
다사60b18b,"MULTIPOLYGON (((127.0545133830516 37.2645646065457, 127.0544868323334 37.26907148145209, 127.0601260868223 37.2690925687665, 127.0601523014911 37.26458569043973, 127.0545133830516 37.2645646065457)))",127.0573197,37.26682861,0.401422579,1,79,0.542
다사59a16b,"MULTIPOLYGON (((127.0377068375999 37.24647225139701, 127.0376793032658 37.2509791296069, 127.0433171960677 37.25100100853199, 127.0433443946556 37.24649412677271, 127.0377068375999 37.24647225139701)))",127.0405119,37.24873665,0.401401565,0,140,1.902
다사58a19b,"MULTIPOLYGON (((127.0262624128095 37.27346886951584, 127.0262341692958 37.27797571975135, 127.0318740657949 37.27799815735963, 127.0319019731167 37.27349130348507, 127.0262624128095 37.27346886951584)))",127.0290682,37.27573353,0.401251467,0,98,0.388
다사59a18b,"MULTIPOLYGON (((127.037596663485 37.26449974349836, 127.0375691046271 37.26900660788227, 127.043208341161 37.26902850100909, 127.0432355639738 37.26452163307412, 127.037596663485 37.26449974349836)))",127.0404024,37.26676414,0.400514348,2,59,0.538
다사58b21a,"MULTIPOLYGON (((127.0318182325131 37.28701185473579, 127.0317903065502 37.29151869823709, 127.0374312182906 37.29154087794573, 127.0374588078356 37.28703403084769, 127.0318182325131 37.28701185473579)))",127.0346246,37.28927639,0.400419287,0,26,1.555
다사59a17b,"MULTIPOLYGON (((127.037651762803 37.25548600436052, 127.0376242162098 37.25999287565772, 127.0432627807282 37.26001476168285, 127.0432899914257 37.25550788683542, 127.037651762803 37.25548600436052)))",127.0404572,37.2577504,0.400325468,2,72,1.61
다사62b17b,"MULTIPOLYGON (((127.0771194877119 37.25563354372996, 127.0770942924172 37.26014043896409, 127.082732897764 37.26016044535798, 127.0827577571536 37.25565354687852, 127.0771194877119 37.25563354372996)))",127.0799261,37.25789702,0.40021322,1,45,0.612
다사60b21a,"MULTIPOLYGON (((127.0543805703453 37.28709894651981, 127.0543539900625 37.29160580414651, 127.0599949259205 37.29162690856875, 127.0600211697797 37.28712004751966, 127.0543805703453 37.28709894651981)))",127.0571877,37.28936295,0.400180996,0,105,1.447
다사58a16b,"MULTIPOLYGON (((127.0264317419452 37.2464276954928, 127.0264035361232 37.25093456647326, 127.0320414165927 37.25095698225368, 127.0320692866715 37.24645010763673, 127.0264317419452 37.2464276954928)))",127.0292365,37.24869236,0.400167347,0,120,0.497
다사59b15a,"MULTIPOLYGON (((127.0434259541089 37.23297346076127, 127.0433987736748 37.23748035288719, 127.0490356655122 37.23750195286696, 127.0490625104229 37.23299505723641, 127.0434259541089 37.23297346076127)))",127.0462307,37.23523773,0.4,0,48,1.477
다사50b20a,"MULTIPOLYGON (((126.9416365181646 37.27760691365246, 126.9416032245492 37.28211370060839, 126.9472433551278 37.28214017272137, 126.9472763125004 37.27763338147228, 126.9416365181646 37.27760691365246)))",126.9444399,37.27987356,0.4,0,24,1.943
다사60b15a,"MULTIPOLYGON (((127.0546990727106 37.23301638545578, 127.0546725633248 37.23752328454741, 127.0603094670379 37.23754434792769, 127.0603356408974 37.23303744541851, 127.0546990727106 37.23301638545578)))",127.0575042,37.23528039,0.399805762,1,32,1.735
다사61b17a,"MULTIPOLYGON (((127.065868827069 37.25108583993325, 127.0658429657244 37.25559273200041, 127.0714812238773 37.25561327210365, 127.071506749394 37.25110637670441, 127.065868827069 37.25108583993325)))",127.0686749,37.25334958,0.399033571,0,54,2.277
다사60a21b,"MULTIPOLYGON (((127.0487130601216 37.29158443090132, 127.0486861374248 37.29609128160528, 127.0543274038627 37.29611265831682, 127.0543539900625 37.29160580414651, 127.0487130601216 37.29158443090132)))",127.0515201,37.29384857,0.398609078,0,148,0.853
다사53a15a,"MULTIPOLYGON (((126.9701512996108 37.23266829572981, 126.9701197575063 37.23717513833462, 126.9757565648711 37.2372002261202, 126.9757877714718 37.2326933794449, 126.9701512996108 37.23266829572981)))",126.9729538,37.23493428,0.398042414,0,7,3.522
다사62b17a,"MULTIPOLYGON (((127.0771446773995 37.25112664504223, 127.0771194877119 37.25563354372996, 127.0827577571536 37.25565354687852, 127.0827826110108 37.25114664494583, 127.0771446773995 37.25112664504223)))",127.0799511,37.25339012,0.398025524,3,100,1.079
다사60a16a,"MULTIPOLYGON (((127.0490088146264 37.24200884504251, 127.0489819577641 37.24651573376292, 127.0546195268505 37.24653707236677, 127.0546460480386 37.24203018018445, 127.0490088146264 37.24200884504251)))",127.0518141,37.24427298,0.397458629,0,95,0.878
다사54a22a,"MULTIPOLYGON (((126.980991429073 37.29581378980954, 126.9809604616339 37.30032059205436, 126.986601987762 37.30034519908228, 126.9866326186472 37.29583839284749, 126.980991429073 37.29581378980954)))",126.9837966,37.29807952,0.397450319,2,136,1.536
다사59b19b,"MULTIPOLYGON (((127.0431811122886 37.27353536548761, 127.0431538773549 37.27804222650952, 127.0487937922662 37.27806385804933, 127.0488206910036 37.27355699351909, 127.0431811122886 37.27353536548761)))",127.0459874,37.27579963,0.396991955,2,62,1.344
다사54a20b,"MULTIPOLYGON (((126.9810842900441 37.28229336230227, 126.9810533432765 37.28680017493334, 126.9866938599675 37.28682476999275, 126.9867244704057 37.2823179533731, 126.9810842900441 37.28229336230227)))",126.983889,37.28455909,0.396755162,0,98,1.375
다사62b18b,"MULTIPOLYGON (((127.0770690915142 37.26464733074445, 127.0770438850016 37.2691542190709, 127.0826831623831 37.2691742319566, 127.082708032841 37.26466734038406, 127.0770690915142 37.26464733074445)))",127.079876,37.2669108,0.396596184,0,53,1.77
다사52b19b,"MULTIPOLYGON (((126.9642276807402 37.27320436555608, 126.9641957392165 37.27771117288621, 126.969835562442 37.27773656600542, 126.9698671677909 37.27322975455694, 126.9642276807402 37.27320436555608)))",126.9670315,37.27547049,0.396593674,0,64,1.463
다사60a18b,"MULTIPOLYGON (((127.0488744705209 37.26454325409021, 127.0488475837548 37.26905012553267, 127.0544868323334 37.26907148145209, 127.0545133830516 37.2645646065457, 127.0488744705209 37.26454325409021)))",127.0516806,37.26680739,0.395992366,0,65,0.367
다사56a23a,"MULTIPOLYGON (((127.003496978952 37.30492422125178, 127.0034673445484 37.3094310322737, 127.0091095708478 37.30945457133289, 127.0091388685413 37.30494775649449, 127.003496978952 37.30492422125178)))",127.0063032,37.30718942,0.395911277,1,34,2.213
다사59b17a,"MULTIPOLYGON (((127.0433171960677 37.25100100853199, 127.0432899914257 37.25550788683542, 127.048928226104 37.25552950083775, 127.0489550949237 37.25102261902805, 127.0433171960677 37.25100100853199)))",127.0461226,37.25326528,0.395698925,0,24,2.426
다사55a21b,"MULTIPOLYGON (((126.992304102626 37.29135591338773, 126.9922738150387 37.29586272703022, 126.9979150181725 37.29588679235673, 126.9979449692776 37.29137997481192, 126.992304102626 37.29135591338773)))",126.9951095,37.29362137,0.39560858,2,108,0.889
다사62a18a,"MULTIPOLYGON (((127.0714556926788 37.26012016404888, 127.0714301557972 37.26462705253996, 127.0770690915142 37.26464733074445, 127.0770942924172 37.26014043896409, 127.0714556926788 37.26012016404888)))",127.0742623,37.26238377,0.395348837,2,16,1.688
다사59b17b,"MULTIPOLYGON (((127.0432899914257 37.25550788683542, 127.0432627807282 37.26001476168285, 127.0489013513036 37.26003637919184, 127.048928226104 37.25552950083775, 127.0432899914257 37.25550788683542)))",127.0460956,37.25777215,0.394918599,0,96,2.015
다사59b16b,"MULTIPOLYGON (((127.0433443946556 37.24649412677271, 127.0433171960677 37.25100100853199, 127.0489550949237 37.25102261902805, 127.0489819577641 37.24651573376292, 127.0433443946556 37.24649412677271)))",127.0461497,37.24875839,0.394822007,0,146,1.87
다사54a24a,"MULTIPOLYGON (((126.9808675179473 37.31384097801391, 126.9808365229234 37.31834776640827, 126.9864793960167 37.31837238940081, 126.9865100541869 37.31386559701459, 126.9808675179473 37.31384097801391)))",126.9836734,37.31610671,0.394647569,0,90,1.529
