,관리기관명,소재지도로명주소,소재지지번주소,설치목적구분,카메라대수,카메라화소수,촬영방면정보,보관일수,설치연월,관리기관전화번호,위도,경도,데이터기준일자,제공기관코드,제공기관명
364,경기도지사,경기도 수원시 권선구 권광로 129,경기도 수원시 권선구 권선동 1015-6,생활방범,9,200.0,,30.0,2000-01,031-230-1615,37.259429,127.03038,2017-04-19,B460004,대한적십자사
6277,경기도혈액원,경기도 수원시 권선구 권광로 129,경기도 수원시 권선구 권선동 1015-6번지,생활방범,6,200.0,,30.0,2012-10,031-220-8500,37.259429,127.03038,2017-04-19,B460004,대한적십자사
6279,경기도혈액원,경기도 수원시 팔달구 덕영대로 923-1 새수원빌딩 4층,경기도 수원시 팔달구 매산로1가 57-104 새수원빌딩 4층,생활방범,2,200.0,,30.0,2015-11,031-245-6518,37.266146,127.001686,2017-04-19,B460004,대한적십자사
7817,경기도 수원시,경기도 수원시 팔달구 창룡대로103번길 41,경기도 수원시 팔달구 매향동 121-136,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2866498,127.0227291,2020-07-31,3740000,경기도 수원시
7818,경기도 수원시,경기도 수원시 장안구 연무로13번길 13,경기도 수원시 장안구 연무동 239-22,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2932893,127.0283584,2020-07-31,3740000,경기도 수원시
7819,경기도 수원시,경기도 수원시 팔달구 팔달문로163번길 7,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2834309,127.0335535,2020-07-31,3740000,경기도 수원시
7820,경기도 수원시,경기도 수원시 장안구 창훈로52번길 3,경기도 수원시 장안구 연무동 56-118,생활방범,1,200.0,360도전방면,30.0,2012-09,031-228-3304,37.2970642,127.0301981,2020-07-31,3740000,경기도 수원시
7821,경기도 수원시,경기도 수원시 팔달구 수원천로213번길 4,경기도 수원시 팔달구 구천동 46-35,생활방범,7,200.0,360도전방면,30.0,2018-12,031-228-3304,37.2729909,127.0180577,2020-07-31,3740000,경기도 수원시
7822,경기도 수원시,경기도 수원시 팔달구 수성로232번길 42,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2875705,126.9988109,2020-07-31,3740000,경기도 수원시
7823,경기도 수원시,경기도 수원시 팔달구 수성로232번길 61,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2866784,126.9987884,2020-07-31,3740000,경기도 수원시
7824,경기도 수원시,경기도 수원시 팔달구 수성로244번길 38,,생활방범,1,130.0,360도전방면,30.0,2012-09,031-228-3304,37.2874263,126.9992508,2020-07-31,3740000,경기도 수원시
7825,경기도 수원시,경기도 수원시 팔달구 수성로244번길 20-3,,생활방범,1,200.0,360도전방면,30.0,2017-01,031-228-3304,37.2881201,126.999059,2020-07-31,3740000,경기도 수원시
7826,경기도 수원시,경기도 수원시 권선구 덕영대로997번길 57,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2585123,127.0070641,2020-07-31,3740000,경기도 수원시
7827,경기도 수원시,경기도 수원시 권선구 구운중로11번길 49,경기도 수원시 권선구 구운동 538,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2756815,126.9704207,2020-07-31,3740000,경기도 수원시
7829,경기도 수원시,경기도 수원시 권선구 세화로169번길 26-1,경기도 수원시 권선구 서둔동 45-37,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2668734,126.9915855,2020-07-31,3740000,경기도 수원시
7830,경기도 수원시,경기도 수원시 권선구 서둔로7번길 19,경기도 수원시 권선구 고색동 890-174,생활방범,1,130.0,360도전방면,30.0,2012-09,031-228-3304,37.2520684,126.9830664,2020-07-31,3740000,경기도 수원시
7831,경기도 수원시,경기도 수원시 권선구 칠보로125번길 28,경기도 수원시 권선구 호매실동 464-1,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2667367,126.9515973,2020-07-31,3740000,경기도 수원시
7832,경기도 수원시,경기도 수원시 권선구 세권로61번길 21,,생활방범,5,130.0,360도전방면,30.0,2016-11,031-228-3304,37.2598186,127.011562,2020-07-31,3740000,경기도 수원시
7833,경기도 수원시,경기도 수원시 권선구 권선로545번길 14,,생활방범,1,130.0,360도전방면,30.0,2012-09,031-228-3304,37.2636299,127.0115624,2020-07-31,3740000,경기도 수원시
7834,경기도 수원시,경기도 수원시 권선구 수원천로 103,,생활방범,4,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2640714,127.0123403,2020-07-31,3740000,경기도 수원시
7835,경기도 수원시,경기도 수원시 권선구 효원로94번길 15-14,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2652697,127.0122277,2020-07-31,3740000,경기도 수원시
7836,경기도 수원시,경기도 수원시 권선구 세권로85번길 13,,생활방범,1,200.0,360도전방면,30.0,2017-05,031-228-3304,37.2588813,127.0138615,2020-07-31,3740000,경기도 수원시
7838,경기도 수원시,경기도 수원시 영통구 매원로11번길 8-16,,생활방범,1,200.0,360도전방면,30.0,2017-01,031-228-3304,37.2671535,127.0483382,2020-07-31,3740000,경기도 수원시
7839,경기도 수원시,경기도 수원시 장안구 덕영대로535번길 67,경기도 수원시 장안구 천천동 514,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.2983993,126.983449,2020-07-31,3740000,경기도 수원시
7840,경기도 수원시,경기도 수원시 장안구 서부로 2066,경기도 수원시 장안구 천천동 500,생활방범,1,200.0,360도전방면,30.0,2012-02,031-228-3304,37.299119,126.9779561,2020-07-31,3740000,경기도 수원시
7841,경기도 수원시,경기도 수원시 장안구 정자천로134번길 23,,생활방범,1,130.0,360도전방면,30.0,2012-02,031-228-3304,37.2923996,126.9922809,2020-07-31,3740000,경기도 수원시
7843,경기도 수원시,경기도 수원시 팔달구 중부대로87번길 15,경기도 수원시 팔달구 지동 115-8,생활방범,4,200.0,360도전방면,30.0,2016-06,031-228-3304,37.2771524,127.0258386,2020-07-31,3740000,경기도 수원시
7844,경기도 수원시,경기도 수원시 팔달구 세지로331번길 38,경기도 수원시 팔달구 지동 297-21,생활방범,4,200.0,360도전방면,30.0,2016-06,031-228-3304,37.2815411,127.0221752,2020-07-31,3740000,경기도 수원시
7845,경기도 수원시,경기도 수원시 팔달구 세지로377번길 14-1,경기도 수원시 팔달구 지동 231-3,생활방범,4,130.0,360도전방면,30.0,2016-06,031-228-3304,37.2843786,127.0262016,2020-07-31,3740000,경기도 수원시
