,gid,lbl,val,geometry,경도,위도
271,ㅼ궗54aa20ba,848.00,848.0,"MULTIPOLYGON (((126.9810842900441 37.28229336230227, 126.9810688175213 37.28454676905054, 126.9838889909234 37.28455909917628, 126.9839043793686 37.28230569142818, 126.9810842900441 37.28229336230227)))",126.982486619492,37.28342623608836
595,ㅼ궗57aa23aa,847.00,847.0,"MULTIPOLYGON (((127.0147807646512 37.30497102279085, 127.0147662849661 37.30722443252897, 127.0175873196164 37.30723596575696, 127.017601715128 37.30498255508382, 127.0147807646512 37.30497102279085)))",127.01618402111619,37.30610349964381
270,ㅼ궗54aa19ab,843.00,843.0,"MULTIPOLYGON (((126.9811616268343 37.27102631557965, 126.9811461629187 37.27327972665495, 126.9839659160267 37.27329205178209, 126.9839812959115 37.27103863970724, 126.9811616268343 37.27102631557965)))",126.98256375045042,37.27215918902776
393,ㅼ궗55ab20ba,843.00,843.0,"MULTIPOLYGON (((126.9951847536981 37.28235433612068, 126.9951697015651 37.28460774781365, 126.9979898834371 37.28461974200597, 126.9980048514915 37.2823663293404, 126.9951847536981 37.28235433612068)))",126.9965872975748,37.28348704441925
588,ㅼ궗57aa21ab,843.00,843.0,"MULTIPOLYGON (((127.0148820773372 37.2891971304065, 127.0148676089282 37.29145054619886, 127.0176880545607 37.29146207288291, 127.0177024388617 37.28920865615592, 127.0148820773372 37.2891971304065)))",127.0162850449477,37.290329607011536
781,ㅼ궗58ba21ba,842.00,842.0,"MULTIPOLYGON (((127.0317903065502 37.29151869823709, 127.0317763412376 37.29377211869099, 127.0345968804538 37.29378324304977, 127.034610761648 37.2915298216939, 127.0317903065502 37.29151869823709)))",127.03319357249725,37.292650976018905
567,ㅼ궗57aa16aa,840.00,840.0,"MULTIPOLYGON (((127.0151855422758 37.24187519902294, 127.01517110764 37.24412863297251, 127.0179897889694 37.24414014004088, 127.0180041396935 37.24188670515783, 127.0151855422758 37.24187519902294)))",127.01658764467057,37.24300767488949
488,ㅼ궗56ab19ba,837.00,837.0,"MULTIPOLYGON (((127.0065240017247 37.27338823505754, 127.0065092924564 37.2756416540678, 127.0093291446747 37.27565337570825, 127.0093437699011 37.27339995574739, 127.0065240017247 37.27338823505754)))",127.00792655221548,37.27452081074253
816,ㅼ궗59aa18ab,833.00,833.0,"MULTIPOLYGON (((127.037610440614 37.26224631001012, 127.037596663485 37.26449974349836, 127.0404161129674 37.26451072185615, 127.0404298060992 37.2622572874775, 127.037610440614 37.26224631001012)))",127.03901325581607,37.263378521305604
290,ㅼ궗54ab17ab,828.00,828.0,"MULTIPOLYGON (((126.9841042733937 37.25301131195963, 126.9840889071951 37.25526473095627, 126.9869079900285 37.25527698097306, 126.9869232722709 37.25302356098279, 126.9841042733937 37.25301131195963)))",126.98550611074957,37.25414415181109
120,ㅼ궗52ab18ab,826.00,826.0,"MULTIPOLYGON (((126.9614881826422 37.26192454203068, 126.9614721376606 37.26417794941963, 126.9642915424637 37.26419074050726, 126.9643075034533 37.26193733208088, 126.9614881826422 37.26192454203068)))",126.96288984158363,37.26305764660453
1021,ㅼ궗61aa18ab,824.00,824.0,"MULTIPOLYGON (((127.0601654066377 37.26233224998068, 127.0601523014911 37.26458569043973, 127.0629717629032 37.26459613167594, 127.0629847840512 37.26234269037003, 127.0601654066377 37.26233224998068)))",127.06156856379422,37.263464196211714
1043,ㅼ궗61ab18ab,823.00,823.0,"MULTIPOLYGON (((127.0629847840512 37.26234269037003, 127.0629717629032 37.26459613167594, 127.0657912257645 37.26460650577145, 127.0658041629138 37.26235306362414, 127.0629847840512 37.26234269037003)))",127.06438798393148,37.26347460345551
1020,ㅼ궗61aa18aa,822.00,822.0,"MULTIPOLYGON (((127.0601785103259 37.26007880865789, 127.0601654066377 37.26233224998068, 127.0629847840512 37.26234269037003, 127.0629978037503 37.26008924820044, 127.0601785103259 37.26007880865789)))",127.0615816262147,37.26121075489692
1058,ㅼ궗61ba17ab,817.00,817.0,"MULTIPOLYGON (((127.0658558971162 37.25333928639863, 127.0658429657244 37.25559273200041, 127.068662094086 37.25560303561159, 127.0686749415162 37.25334958917403, 127.0658558971162 37.25333928639863)))",127.06725897463383,37.25447116638948
15,ㅼ궗50aa21ab,817.00,817.0,"MULTIPOLYGON (((126.93591264256 37.28884712720995, 126.9358958192086 37.29110051462054, 126.9387162162142 37.29111392297285, 126.9387329554633 37.28886053447508, 126.93591264256 37.28884712720995)))",126.93731440839147,37.28998053041991
1028,ㅼ궗61aa20bb,817.00,817.0,"MULTIPOLYGON (((127.060034289519 37.28486661569918, 127.0600211697797 37.28712004751966, 127.062841471692 37.28713049722707, 127.0628545073391 37.28487706455924, 127.060034289519 37.28486661569918)))",127.06143785960582,37.285998561850946
1075,ㅼ궗61bb20ab,816.00,816.0,"MULTIPOLYGON (((127.0685206779511 37.28039088942641, 127.0685078133524 37.28264432550016, 127.0713279514132 37.28265457195982, 127.071340731938 37.28040113505517, 127.0685206779511 37.28039088942641)))",127.0699242936866,37.281522736084156
325,ㅼ궗54ba22ba,815.00,815.0,"MULTIPOLYGON (((126.986601987762 37.30034519908228, 126.9865866697624 37.30259860090148, 126.9894075195411 37.30261080456786, 126.9894227533879 37.30035740175926, 126.986601987762 37.30034519908228)))",126.98800473264062,37.30147800718041
175,ㅼ궗53aa22ba,811.00,811.0,"MULTIPOLYGON (((126.9696774301338 37.30027057130611, 126.9696616072215 37.30252396707441, 126.9724824466302 37.3025365741198, 126.9724981853909 37.3002831773294, 126.9696774301338 37.30027057130611)))",126.97107991737222,37.30140357806008
432,ㅼ궗55bb19ab,807.00,807.0,"MULTIPOLYGON (((127.0008993459879 37.27111117423962, 127.000884470292 37.27336459219736, 127.0037042351852 37.27337644720748, 127.003719026849 37.27112302828832, 127.0008993459879 37.27111117423962)))",127.0023017696051,37.272243816080014
1098,ㅼ궗62ab18ba,805.00,805.0,"MULTIPOLYGON (((127.0742496229498 37.26463722521276, 127.0742369363861 37.26689066898807, 127.0770564889592 37.26690077533943, 127.0770690915142 37.26464733074445, 127.0742496229498 37.26463722521276)))",127.07565303497503,37.26576900566677
728,ㅼ궗58ab15ba,803.00,803.0,"MULTIPOLYGON (((127.0293065707127 37.23742517913428, 127.0292925587558 37.23967861942509, 127.0321110801612 37.23968978923036, 127.0321250082242 37.23743634803338, 127.0293065707127 37.23742517913428)))",127.03070880448864,37.238557489545855
516,ㅼ궗56ba19aa,799.00,799.0,"MULTIPOLYGON (((127.0093730154715 37.26889311323128, 127.0093583934999 37.27114653492172, 127.0121780792711 37.27115818750619, 127.0121926172192 37.26890476487072, 127.0093730154715 37.26889311323128)))",127.01077552639155,37.270025655728865
446,ㅼ궗55bb23aa,796.00,796.0,"MULTIPOLYGON (((127.0006760366261 37.30491235277584, 127.0006611360763 37.30716575775712, 127.0034821625748 37.30717762719534, 127.003496978952 37.30492422125178, 127.0006760366261 37.30491235277584)))",127.00207907858378,37.30604499534864
969,ㅼ궗60ba16ba,794.00,794.0,"MULTIPOLYGON (((127.0546195268505 37.24653707236677, 127.0546062640428 37.24879051716235, 127.0574251347372 37.24880108667651, 127.057438313612 37.24654764102352, 127.0546195268505 37.24653707236677)))",127.05602230983438,37.24766908489923
484,ㅼ궗56ab18ba,793.00,793.0,"MULTIPOLYGON (((127.0065828224311 37.26437455036807, 127.0065681197092 37.26662797283765, 127.0093876358159 37.26663969067609, 127.0094022545334 37.26438626725614, 127.0065828224311 37.26437455036807)))",127.00798520814871,37.26550712587995
833,ㅼ궗59ab16ab,786.00,786.0,"MULTIPOLYGON (((127.0405392963132 37.244229781342, 127.0405256153665 37.24648322263299, 127.0433443946556 37.24649412677271, 127.0433579916797 37.24424068459717, 127.0405392963132 37.244229781342)))",127.0419418245283,37.245361959427676
1074,ㅼ궗61bb20aa,784.00,784.0,"MULTIPOLYGON (((127.0685335411181 37.27813745248892, 127.0685206779511 37.28039088942641, 127.071340731938 37.28040113505517, 127.0713535110405 37.27814769728682, 127.0685335411181 37.27813745248892)))",127.06993711553486,37.279269299162635
651,ㅼ궗57ba20bb,778.00,778.0,"MULTIPOLYGON (((127.0205513975987 37.28471327680008, 127.0205371005884 37.28696669618567, 127.0233573812062 37.28697808661371, 127.0233715941268 37.2847246663045, 127.0205513975987 37.28471327680008)))",127.0219543684055,37.28584568707557
648,ㅼ궗57ba20aa,778.00,778.0,"MULTIPOLYGON (((127.0205942790839 37.27795301345542, 127.0205799868462 37.28020643543494, 127.0234000152232 37.28021782309226, 127.0234142233993 37.27796440018929, 127.0205942790839 37.27795301345542)))",127.02199712616367,37.279085423641206
