,gid,lbl,val,geometry,경도,위도
291,다사58a18b,2560.00,2559.9999999999995,"MULTIPOLYGON (((127.0263188809816 37.26445515867137, 127.0262906500376 37.26896201582247, 127.0319298742277 37.26898444615309, 127.0319577691293 37.2644775853638, 127.0263188809816 37.26445515867137)))",127.02912429369465,37.26671982388563
206,다사61a21b,2539.00,2539.0,"MULTIPOLYGON (((127.0599949259205 37.29162690856875, 127.0599686762191 37.29613376616183, 127.065609954419 37.29615460513945, 127.0656358676206 37.29164774416718, 127.0599949259205 37.29162690856875)))",127.062802356138,37.2938907784143
55,다사51b22a,2481.00,2481.0,"MULTIPOLYGON (((126.9527855860825 37.2956867418274, 126.952752935898 37.30019352346835, 126.9583944268082 37.30021947497492, 126.9584267404469 37.29571268912601, 126.9527855860825 37.2956867418274)))",126.95558992242483,37.29795312975691
81,다사52a16b,2478.00,2478.0,"MULTIPOLYGON (((126.9587817161874 37.24613781618688, 126.9587494815655 37.25064464013316, 126.9643872817639 37.25067027696488, 126.9644191806613 37.2461634488596, 126.9587817161874 37.24613781618688)))",126.9615844151598,37.248404067903984
333,다사57b19b,2473.00,2473.0,"MULTIPOLYGON (((127.020622858788 37.27344616690252, 127.0205942790839 37.27795301345542, 127.0262341692958 37.27797571975135, 127.0262624128095 37.27346886951584, 127.020622858788 37.27344616690252)))",127.02342843009605,37.275710964796446
374,다사50b19b,2456.00,2456.0,"MULTIPOLYGON (((126.9416698043706 37.27310012323147, 126.9416365181646 37.27760691365246, 126.9472763125004 37.27763338147228, 126.9473092625384 37.27312658675866, 126.9416698043706 37.27310012323147)))",126.94447297451212,37.27536677366819
188,다사56a17b,2451.00,2451.0,"MULTIPOLYGON (((127.0038225224176 37.25534907163836, 127.0037929604814 37.25985592071955, 127.0094314870883 37.25987941782212, 127.0094607131377 37.25537256492938, 127.0038225224176 37.25534907163836)))",127.00662692088675,37.25761426615285
236,다사57b16b,2442.00,2442.0,"MULTIPOLYGON (((127.0207942034958 37.24640501496612, 127.0207656619319 37.25091188226656, 127.0264035361232 37.25093456647326, 127.0264317419452 37.2464276954928, 127.0207942034958 37.24640501496612)))",127.02359878597603,37.248669812168075
228,다사57b15a,2374.00,2374.0,"MULTIPOLYGON (((127.0208797900842 37.23288439232105, 127.0208512675704 37.23739126999322, 127.0264881347604 37.23741394316114, 127.0265163217564 37.23290706181023, 127.0208797900842 37.23288439232105)))",127.02368387864492,37.235149189178905
300,다사53a20b,2369.00,2369.0,"MULTIPOLYGON (((126.9698039500577 37.28224337399134, 126.9697723306363 37.2867501785145, 126.9754128334746 37.28677531110692, 126.9754441165698 37.282268502508, 126.9698039500577 37.28224337399134)))",126.97260830779709,37.284509363927185
