gid,lbl,val,geometry,경도,위도
가나54aa20ba,848,848,"MULTIPOLYGON (((126.9810842900441 37.28229336230227, 126.9810688175213 37.28454676905054, 126.9838889909234 37.28455909917628, 126.9839043793686 37.28230569142818, 126.9810842900441 37.28229336230227)))",126.9824866,37.28342624
가나54aa19ab,843,843,"MULTIPOLYGON (((126.9811616268343 37.27102631557965, 126.9811461629187 37.27327972665495, 126.9839659160267 37.27329205178209, 126.9839812959115 37.27103863970724, 126.9811616268343 37.27102631557965)))",126.9825638,37.27215919
가나57aa21ab,843,843,"MULTIPOLYGON (((127.0148820773372 37.2891971304065, 127.0148676089282 37.29145054619886, 127.0176880545607 37.29146207288291, 127.0177024388617 37.28920865615592, 127.0148820773372 37.2891971304065)))",127.016285,37.29032961
가나58ba21ba,842,842,"MULTIPOLYGON (((127.0317903065502 37.29151869823709, 127.0317763412376 37.29377211869099, 127.0345968804538 37.29378324304977, 127.034610761648 37.2915298216939, 127.0317903065502 37.29151869823709)))",127.0331936,37.29265098
가나57aa16aa,840,840,"MULTIPOLYGON (((127.0151855422758 37.24187519902294, 127.01517110764 37.24412863297251, 127.0179897889694 37.24414014004088, 127.0180041396935 37.24188670515783, 127.0151855422758 37.24187519902294)))",127.0165876,37.24300767
가나56ab19ba,837,837,"MULTIPOLYGON (((127.0065240017247 37.27338823505754, 127.0065092924564 37.2756416540678, 127.0093291446747 37.27565337570825, 127.0093437699011 37.27339995574739, 127.0065240017247 37.27338823505754)))",127.0079266,37.27452081
가나59aa18ab,833,833,"MULTIPOLYGON (((127.037610440614 37.26224631001012, 127.037596663485 37.26449974349836, 127.0404161129674 37.26451072185615, 127.0404298060992 37.2622572874775, 127.037610440614 37.26224631001012)))",127.0390133,37.26337852
가나54ab17ab,828,828,"MULTIPOLYGON (((126.9841042733937 37.25301131195963, 126.9840889071951 37.25526473095627, 126.9869079900285 37.25527698097306, 126.9869232722709 37.25302356098279, 126.9841042733937 37.25301131195963)))",126.9855061,37.25414415
가나52ab18ab,826,826,"MULTIPOLYGON (((126.9614881826422 37.26192454203068, 126.9614721376606 37.26417794941963, 126.9642915424637 37.26419074050726, 126.9643075034533 37.26193733208088, 126.9614881826422 37.26192454203068)))",126.9628898,37.26305765
가나61aa18ab,824,824,"MULTIPOLYGON (((127.0601654066377 37.26233224998068, 127.0601523014911 37.26458569043973, 127.0629717629032 37.26459613167594, 127.0629847840512 37.26234269037003, 127.0601654066377 37.26233224998068)))",127.0615686,37.2634642
가나61ab18ab,823,823,"MULTIPOLYGON (((127.0629847840512 37.26234269037003, 127.0629717629032 37.26459613167594, 127.0657912257645 37.26460650577145, 127.0658041629138 37.26235306362414, 127.0629847840512 37.26234269037003)))",127.064388,37.2634746
가나61aa18aa,822,822,"MULTIPOLYGON (((127.0601785103259 37.26007880865789, 127.0601654066377 37.26233224998068, 127.0629847840512 37.26234269037003, 127.0629978037503 37.26008924820044, 127.0601785103259 37.26007880865789)))",127.0615816,37.26121075
