gid,Longitude,Latitude
다사51a19a,126.9501454,37.27088631
다사51a20a,126.9500798,37.2798999
다사59a21a,127.0402654,37.28929843
다사58b23b,127.0344858,37.31181057
다사62a21b,127.0740846,37.29393192
다사54a24b,126.9836425,37.32061349
다사57a26a,127.0174144,37.33427681
다사54a18a,126.9840428,37.26202497
다사61b21a,127.0684692,37.28940462
다사61a21b,127.0628024,37.29389078
다사53a15a,126.9729538,37.23493428
다사57a25a,127.0174721,37.32526321
다사51a17b,126.9502437,37.25736589
다사62a21a,127.07411,37.28942505
다사53a16b,126.9728597,37.2484548
다사50a18a,126.9389337,37.26181979
다사52a16b,126.9615844,37.24840407
다사59b17a,127.0461226,37.25326528
다사61a20b,127.0628545,37.28487705
다사60b20a,127.0572405,37.28034922
다사63a21b,127.0853668,37.29397198
다사49b19a,126.9332275,37.27080652
다사52a15b,126.9616485,37.23939041
다사57a25b,127.0174433,37.32977001
다사57b22b,127.0232578,37.30275199
다사59b22b,127.0458249,37.30284075
다사50b20a,126.9444399,37.27987356
다사52a20b,126.9613277,37.28445857
다사56a23b,127.0062737,37.31169623
다사59a15b,127.0405667,37.23972288
다사58b21a,127.0346246,37.28927639
다사53b15a,126.9785905,37.23495923
다사58b15b,127.0349296,37.23970088
다사50a18b,126.9389002,37.26632659
다사54a18b,126.9840121,37.2665318
다사56b20a,127.0121199,37.28017186
다사58b22a,127.0345691,37.29829007
다사51b18a,126.9558495,37.26189875
다사51a22a,126.9499486,37.29792705
다사52a17a,126.9615523,37.25291089
다사55b24a,127.0006015,37.31617936
다사58a23b,127.0288434,37.31178824
다사52a22a,126.9612312,37.29797894
다사55b23b,127.0006313,37.31167255
다사60a18a,127.0517073,37.26230051
다사56b19b,127.012149,37.27566502
다사52a20a,126.9613598,37.27995177
다사61b17a,127.0686749,37.25334958
다사49b19b,126.9331937,37.27531331
다사56a16b,127.0066857,37.24860056
다사54a19a,126.9839813,37.27103863
다사52b21a,126.9669362,37.2889909
다사59a22b,127.0401831,37.30281896
다사59b20b,127.0459332,37.28481335
다사53b21b,126.9781864,37.29354797
다사53b24a,126.9780307,37.31608195
다사51a18a,126.9502109,37.2618727
다사50b18a,126.9445723,37.26184638
다사59b20a,127.0459603,37.28030649
다사61a19b,127.0629066,37.27586331
다사60b18a,127.057346,37.26232173
다사53a21b,126.9725454,37.29352297
다사59b15a,127.0462307,37.23523773
다사53b19a,126.978342,37.27101391
다사62b18b,127.079876,37.2669108
다사59a20a,127.0403202,37.28028473
다사60b19b,127.0572669,37.27584236
다사52b23a,126.966809,37.30701807
다사58a15a,127.0293206,37.23517173
다사61b16b,127.0687006,37.24884268
다사63a18b,127.0855152,37.26693068
다사56b16a,127.0123524,37.24411705
다사52b21b,126.9669044,37.2934977
다사60a15a,127.0518675,37.23525919
다사58b18a,127.0347911,37.26223525
다사52a16a,126.9616165,37.24389724
다사57a24a,127.0175297,37.31624959
다사58b22b,127.0345413,37.30279691
다사55b22b,127.0006909,37.30265894
다사57b17a,127.0235704,37.25317668
다사61b18b,127.0685978,37.26687024
다사60b17a,127.0573988,37.25330796
다사57a23a,127.0175873,37.30723595
다사58a18b,127.0291243,37.26671982
다사54b22a,126.989438,37.29810399
다사51b17b,126.955882,37.25739194
다사59a23b,127.0401282,37.31183263
다사56b16b,127.0123234,37.24862391
다사62b21b,127.0797257,37.29395208
다사51a19b,126.9501126,37.27539311
다사52b16b,126.9672221,37.24842957
다사56a20b,127.0064504,37.28465531
다사50a19a,126.9388668,37.27083338
다사53a18b,126.9727341,37.26648211
다사60b20b,127.0572141,37.28485609
다사59a22a,127.0402105,37.29831212
다사55b19b,127.0008696,37.275618
다사52b19b,126.9670315,37.27547049
다사56a23a,127.0063032,37.30718942
다사57b16a,127.0236272,37.24416294
다사54a16b,126.984135,37.24850446
다사50a19b,126.9388334,37.27534017
다사59a19a,127.040375,37.27127101
다사50b18b,126.9445392,37.26635318
다사60b15a,127.0575042,37.23528039
다사52b17a,126.9671903,37.2529364
다사55a19b,126.9952299,37.27559408
다사58b18b,127.0347634,37.26674212
다사55a20a,126.9951998,37.28010091
다사55a21a,126.9951396,37.28911456
다사58a19a,127.0290962,37.27122668
다사53b21a,126.9782175,37.28904117
다사54a22b,126.9837658,37.30258632
다사59b21a,127.0459061,37.28932021
다사51b20a,126.9557198,37.27992597
다사62b18a,127.0799011,37.26240391
다사61b20a,127.0685207,37.28039088
다사55a22b,126.9950492,37.302635
다사58a22b,127.0288996,37.30277459
다사59a16a,127.0405393,37.24422977
다사61a16a,127.0630889,37.24431512
다사58a16a,127.0292645,37.24418549
다사55a23a,126.9950191,37.30714181
다사55a17a,126.9953803,37.25305989
다사59b19a,127.0460144,37.27129277
다사53b23a,126.978093,37.30706837
다사53b23b,126.9780618,37.31157516
다사51b22a,126.9555899,37.29795313
다사56b22a,127.0120035,37.29819918
다사60a22b,127.0514666,37.30286226
다사58a18a,127.0291524,37.26221296
다사57b22a,127.0232863,37.29824516
다사56a17a,127.0066563,37.25310741
다사59a18a,127.0404298,37.26225728
다사59b21b,127.0458791,37.29382706
다사61a16b,127.0630629,37.24882201
다사53b17a,126.9784663,37.2529866
다사59b17b,127.0460956,37.25777215
다사60a18b,127.0516806,37.26680739
다사52b20a,126.9669998,37.27997729
다사61a18a,127.0629848,37.26234268
다사57a16a,127.0179898,37.24414013
다사52b22a,126.9668726,37.29800449
다사57b15b,127.0236555,37.23965607
다사54a24a,126.9836734,37.31610671
다사52b15b,126.9672855,37.2394159
다사58b19b,127.0347079,37.27575584
다사50a21a,126.938733,37.28886052
다사60a20b,127.0515736,37.28483485
다사61b17b,127.0686492,37.25785647
다사54a17b,126.9840735,37.25751814
다사61a17b,127.0630108,37.25783579
다사53a19a,126.9727026,37.27098893
다사53a15b,126.9729225,37.23944113
다사50b21a,126.9443736,37.28888714
다사53a23a,126.972451,37.30704335
다사52a18b,126.9614561,37.26643134
다사60b22a,127.0571348,37.29837666
다사59b23b,127.0457706,37.31185442
다사61a15b,127.0631149,37.23980822
다사58b19a,127.0347356,37.27124898
다사61a19a,127.0629327,37.27135644
다사54a20b,126.983889,37.28455909
다사54b24b,126.9892856,37.32063798
다사52a18a,126.9614882,37.26192453
다사54a23a,126.983735,37.30709312
다사50a21b,126.9386995,37.2933673
다사62a18a,127.0742623,37.26238377
다사55a22a,126.9950794,37.29812819
다사56a18b,127.0065681,37.26662796
다사53b19b,126.9783109,37.27552073
다사60b19a,127.0572933,37.27133548
다사60b21a,127.0571877,37.28936295
다사60b17b,127.0573724,37.25781485
다사62b17b,127.0799261,37.25789702
다사53b18b,126.9783731,37.26650709
다사61a21a,127.0628284,37.28938392
다사58b16a,127.0349019,37.24420776
다사50b21b,126.9443404,37.29339392
다사60a16a,127.0518141,37.24427298
다사59a23a,127.0401557,37.3073258
다사60a19b,127.0516271,37.27582113
다사58a21a,127.0289839,37.28925408
다사57a18b,127.0178462,37.26667443
다사54b23b,126.9893466,37.3116244
다사57a17b,127.0179037,37.25766072
다사55a18b,126.9952901,37.26658042
다사61b21b,127.0684435,37.29391148
다사54b18a,126.9896815,37.26204941
다사58b20b,127.0346524,37.28476954
다사59b16a,127.0461767,37.24425151
다사55a23b,126.9949889,37.31164861
다사57b20b,127.0233716,37.28472465
다사53b22b,126.9781241,37.30256157
다사52a19a,126.961424,37.27093815
다사57b16b,127.0235988,37.24866981
